Facility,Location,Date,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,Total Count,Status
Marino Recreation Center,Marino Center - Studio A,1/8/23 0:00,,,,1,4,2,7,5,5,5,4,3,6,1,2,5,3,1,,52,Active
Marino Recreation Center,Marino Center - Studio B,1/8/23 0:00,,,,0,0,2,6,6,6,4,3,3,11,4,3,3,2,0,,53,Active
Marino Recreation Center,Marino Center - Gymnasium,1/8/23 0:00,,,,1,3,14,16,14,17,43,68,67,70,57,47,34,24,23,,497,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,1/8/23 0:00,,,,5,16,32,42,37,38,35,36,51,63,50,33,24,18,19,,498,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,1/8/23 0:00,,,,11,26,35,54,64,56,50,54,61,58,43,30,25,20,17,,601,Active
Marino Recreation Center,Marino Center - 2nd Floor,1/8/23 0:00,,,,10,21,34,40,39,33,18,13,18,21,26,33,27,21,16,,367,Active
Marino Recreation Center,Marino Center - Track,1/9/23 0:00,1,1,4,8,5,4,4,5,6,6,5,8,9,10,11,8,7,5,6,111,Active
Marino Recreation Center,Marino Center - Studio A,1/9/23 0:00,1,2,3,2,6,7,4,8,9,6,12,,,15,19,13,12,8,6,131,Active
Marino Recreation Center,Marino Center - Studio B,1/9/23 0:00,0,2,3,4,6,6,2,9,2,5,6,,,6,29,26,9,4,2,119,Active
Marino Recreation Center,Marino Center - Gymnasium,1/9/23 0:00,0,1,5,7,9,9,8,16,20,16,37,,,41,61,44,58,75,71,476,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,1/9/23 0:00,3,25,38,33,33,32,30,32,54,55,56,55,50,61,55,51,41,38,35,775,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,1/9/23 0:00,11,42,39,43,48,38,48,50,44,49,54,62,75,63,67,51,54,56,50,942,Active
Marino Recreation Center,Marino Center - 2nd Floor,1/9/23 0:00,2,27,45,48,38,35,40,56,44,49,64,,,76,95,69,61,49,39,836,Active
Marino Recreation Center,Marino Center - Track,1/10/23 0:00,3,3,3,6,6,7,8,6,4,5,5,8,5,2,10,19,14,3,,114,Active
Marino Recreation Center,Marino Center - Studio A,1/10/23 0:00,0,2,2,4,7,7,6,,6,3,6,8,9,9,15,7,3,3,,95,Active
Marino Recreation Center,Marino Center - Studio B,1/10/23 0:00,0,2,3,3,6,6,4,,4,4,3,5,7,7,19,6,6,3,,86,Active
Marino Recreation Center,Marino Center - Gymnasium,1/10/23 0:00,0,0,1,4,4,6,7,,8,16,49,57,58,59,61,55,58,39,,481,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,1/10/23 0:00,18,25,29,50,49,61,60,54,40,35,30,38,34,18,53,50,56,30,,727,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,1/10/23 0:00,14,31,29,45,47,61,52,52,45,53,60,63,56,43,58,46,50,40,,843,Active
Marino Recreation Center,Marino Center - 2nd Floor,1/10/23 0:00,4,21,34,37,38,38,38,,42,46,50,63,67,67,69,55,48,28,,743,Active
Marino Recreation Center,Marino Center - Track,1/11/23 0:00,,3,4,6,7,3,7,7,5,3,4,6,7,7,9,10,9,5,,101,Active
Marino Recreation Center,Marino Center - Studio A,1/11/23 0:00,0,2,4,5,5,3,8,7,5,1,3,16,18,20,17,8,9,6,,133,Active
Marino Recreation Center,Marino Center - Studio B,1/11/23 0:00,0,1,3,6,5,3,6,4,4,5,3,27,28,30,21,8,11,9,,172,Active
Marino Recreation Center,Marino Center - Gymnasium,1/11/23 0:00,0,3,3,4,9,12,15,17,18,35,40,56,58,60,41,36,36,38,,478,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,1/11/23 0:00,,30,23,34,35,33,65,65,44,42,45,48,51,48,56,52,52,60,,781,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,1/11/23 0:00,,24,41,54,53,52,53,63,39,34,54,58,66,66,54,44,61,60,,875,Active
Marino Recreation Center,Marino Center - 2nd Floor,1/11/23 0:00,4,22,37,42,39,43,46,44,46,38,44,71,71,73,72,44,55,61,,849,Active
Marino Recreation Center,Marino Center - Track,1/12/23 0:00,1,3,3,6,6,6,5,5,3,4,8,5,4,9,2,3,3,2,,75,Active
Marino Recreation Center,Marino Center - Studio A,1/12/23 0:00,0,2,4,4,3,4,3,6,3,7,11,4,8,,20,18,11,3,0,107,Active
Marino Recreation Center,Marino Center - Studio B,1/12/23 0:00,0,1,3,4,3,3,2,4,3,8,10,8,12,,13,12,11,6,0,98,Active
Marino Recreation Center,Marino Center - Gymnasium,1/12/23 0:00,0,7,10,6,3,7,6,11,12,20,28,32,39,,49,68,71,63,32,461,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,1/12/23 0:00,14,21,28,47,44,58,51,45,28,58,74,69,69,76,60,47,41,39,,866,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,1/12/23 0:00,15,28,27,38,40,39,44,50,37,70,73,65,61,87,68,54,50,49,,893,Active
Marino Recreation Center,Marino Center - 2nd Floor,1/12/23 0:00,0,6,15,27,47,44,39,55,28,39,47,50,57,,49,48,43,32,13,636,Active
Marino Recreation Center,Marino Center - Track,1/13/23 0:00,1,2,4,7,6,7,5,8,6,6,7,6,9,9,13,14,4,5,,116,Active
Marino Recreation Center,Marino Center - Studio A,1/13/23 0:00,0,1,3,7,6,5,5,10,7,10,12,12,8,6,5,4,3,5,2,109,Active
Marino Recreation Center,Marino Center - Studio B,1/13/23 0:00,0,0,0,7,9,9,6,9,7,10,12,13,10,8,9,5,5,3,0,119,Active
Marino Recreation Center,Marino Center - Gymnasium,1/13/23 0:00,0,6,15,6,2,7,8,12,13,15,17,36,36,45,44,41,42,40,29,411,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,1/13/23 0:00,6,22,18,19,21,19,35,42,36,36,35,51,50,53,53,56,48,45,,644,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,1/13/23 0:00,18,23,22,23,27,29,39,57,38,39,40,76,63,65,49,51,41,17,,715,Active
Marino Recreation Center,Marino Center - 2nd Floor,1/13/23 0:00,3,20,28,36,40,48,45,46,47,47,49,48,49,46,45,40,24,26,11,697,Active
Marino Recreation Center,Marino Center - Track,1/14/23 0:00,,,,3,5,5,4,3,4,3,4,,,5,5,6,4,6,0,56,Active
Marino Recreation Center,Marino Center - Studio A,1/14/23 0:00,,,,1,1,5,5,4,4,4,4,7,,9,,4,2,2,1,50,Active
Marino Recreation Center,Marino Center - Studio B,1/14/23 0:00,,,,1,4,4,4,3,4,5,4,4,,6,,1,2,,2,41,Active
