5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM
19.50392157,53.54313725,68.03339882,21,43,45,71,109,127,138,135,190,176,166,199,167,126,89,64.82775591
14.57254902,65,101,108,104,109,109,152,137,155,182,227,276,289,303,281,277,252,128.8277559
28,56,73,58,71,87,141,173,143,189,226,242,249,265,277,260,257,211,60.26476378
11.35882353,63,93,106,130,129,157,172,174,195,235,225,230,237,286,283,268,250,60.26476378
13,87,95,90,108,116,147,182.1686391,153,178,180,186,236,263,293,270,206,225,174.4370079
30,73,100,87,100,95,126,152,157,165,168,181,177,194,231,192,157.4015748,118,73.82775591
19.50392157,53.54313725,68.03339882,56,106,125,138.9163386,127,140,146,143,153,161,160,145,145,163.4527559,143.8238189,60.26476378
19.50392157,53.54313725,68.03339882,26,47,64,84,114,134,146,135,162,170,217,213.0108268,188.4645669,163.4527559,143.8238189,60.26476378
22,35,47,50,40,46,59,77,80,102,112,130,170,214,230,228,170,102.7312992,43.04625984
14,43,53,58,66,83,133.5551181,84,79,89,109,122,165,220,296.4301181,265,140.1023622,123.2775591,51.65551181
0,47,48,46.57072692,72.28781925,82.8497053,67,84,81,77,85,95,133,147,187,190,204.4015748,143.8238189,60.26476378
5,21,34,43,59,68,98,88,85,78,90,118,137,174,193,192,199,196,60.26476378
