Date,Hour,Count
1/2/23 0:00,5:00 AM,2.78627451
1/2/23 0:00,5:00 AM,2.78627451
1/2/23 0:00,5:00 AM,2.78627451
1/2/23 0:00,5:00 AM,2.78627451
1/2/23 0:00,5:00 AM,2.78627451
1/2/23 0:00,5:00 AM,2.78627451
1/2/23 0:00,5:00 AM,2.78627451
1/3/23 0:00,5:00 AM,2.78627451
1/3/23 0:00,5:00 AM,2.78627451
1/3/23 0:00,5:00 AM,2.78627451
1/3/23 0:00,5:00 AM,2.78627451
1/3/23 0:00,5:00 AM,2.78627451
1/3/23 0:00,5:00 AM,2.78627451
1/3/23 0:00,5:00 AM,2.78627451
1/4/23 0:00,5:00 AM,2.78627451
1/4/23 0:00,5:00 AM,2.78627451
1/4/23 0:00,5:00 AM,2.78627451
1/4/23 0:00,5:00 AM,2.78627451
1/4/23 0:00,5:00 AM,2.78627451
1/4/23 0:00,5:00 AM,2.78627451
1/4/23 0:00,5:00 AM,2.78627451
1/5/23 0:00,5:00 AM,2.78627451
1/5/23 0:00,5:00 AM,2.78627451
1/5/23 0:00,5:00 AM,2.78627451
1/5/23 0:00,5:00 AM,2.78627451
1/5/23 0:00,5:00 AM,2.78627451
1/5/23 0:00,5:00 AM,2.78627451
1/5/23 0:00,5:00 AM,2.78627451
1/6/23 0:00,5:00 AM,2.78627451
1/6/23 0:00,5:00 AM,2.78627451
1/6/23 0:00,5:00 AM,2.78627451
1/6/23 0:00,5:00 AM,2.78627451
1/6/23 0:00,5:00 AM,2.78627451
1/6/23 0:00,5:00 AM,2.78627451
1/6/23 0:00,5:00 AM,2.78627451
1/7/23 0:00,5:00 AM,2.78627451
1/7/23 0:00,5:00 AM,2.78627451
1/7/23 0:00,5:00 AM,2.78627451
1/7/23 0:00,5:00 AM,2.78627451
1/7/23 0:00,5:00 AM,2.78627451
1/7/23 0:00,5:00 AM,2.78627451
1/7/23 0:00,5:00 AM,2.78627451
1/8/23 0:00,5:00 AM,2.78627451
1/8/23 0:00,5:00 AM,2.78627451
1/8/23 0:00,5:00 AM,2.78627451
1/8/23 0:00,5:00 AM,2.78627451
1/8/23 0:00,5:00 AM,2.78627451
1/8/23 0:00,5:00 AM,2.78627451
1/8/23 0:00,5:00 AM,2.78627451
1/9/23 0:00,5:00 AM,1
1/9/23 0:00,5:00 AM,1
1/9/23 0:00,5:00 AM,0
1/9/23 0:00,5:00 AM,0
1/9/23 0:00,5:00 AM,3
1/9/23 0:00,5:00 AM,11
1/9/23 0:00,5:00 AM,2
1/10/23 0:00,5:00 AM,3
1/10/23 0:00,5:00 AM,0
1/10/23 0:00,5:00 AM,0
1/10/23 0:00,5:00 AM,0
1/10/23 0:00,5:00 AM,18
1/10/23 0:00,5:00 AM,14
1/10/23 0:00,5:00 AM,4
1/11/23 0:00,5:00 AM,2.78627451
1/11/23 0:00,5:00 AM,0
1/11/23 0:00,5:00 AM,0
1/11/23 0:00,5:00 AM,0
1/11/23 0:00,5:00 AM,2.78627451
1/11/23 0:00,5:00 AM,2.78627451
1/11/23 0:00,5:00 AM,4
1/12/23 0:00,5:00 AM,1
1/12/23 0:00,5:00 AM,0
1/12/23 0:00,5:00 AM,0
1/12/23 0:00,5:00 AM,0
1/12/23 0:00,5:00 AM,14
1/12/23 0:00,5:00 AM,15
1/12/23 0:00,5:00 AM,0
1/13/23 0:00,5:00 AM,1
1/13/23 0:00,5:00 AM,0
1/13/23 0:00,5:00 AM,0
1/13/23 0:00,5:00 AM,0
1/13/23 0:00,5:00 AM,6
1/13/23 0:00,5:00 AM,18
1/13/23 0:00,5:00 AM,3
1/14/23 0:00,5:00 AM,2.78627451
1/14/23 0:00,5:00 AM,2.78627451
1/14/23 0:00,5:00 AM,2.78627451
1/14/23 0:00,5:00 AM,2.78627451
1/14/23 0:00,5:00 AM,2.78627451
1/14/23 0:00,5:00 AM,2.78627451
1/14/23 0:00,5:00 AM,2.78627451
1/15/23 0:00,5:00 AM,2.78627451
1/15/23 0:00,5:00 AM,2.78627451
1/15/23 0:00,5:00 AM,2.78627451
1/15/23 0:00,5:00 AM,2.78627451
1/15/23 0:00,5:00 AM,2.78627451
1/15/23 0:00,5:00 AM,2.78627451
1/15/23 0:00,5:00 AM,2.78627451
1/16/23 0:00,5:00 AM,1
1/16/23 0:00,5:00 AM,0
1/16/23 0:00,5:00 AM,0
1/16/23 0:00,5:00 AM,0
1/16/23 0:00,5:00 AM,1
1/16/23 0:00,5:00 AM,6
1/16/23 0:00,5:00 AM,1
1/17/23 0:00,5:00 AM,2.78627451
1/17/23 0:00,5:00 AM,0
1/17/23 0:00,5:00 AM,0
1/17/23 0:00,5:00 AM,4
1/17/23 0:00,5:00 AM,2.78627451
1/17/23 0:00,5:00 AM,2
1/17/23 0:00,5:00 AM,2.78627451
1/18/23 0:00,5:00 AM,1
1/18/23 0:00,5:00 AM,2.78627451
1/18/23 0:00,5:00 AM,2.78627451
1/18/23 0:00,5:00 AM,2.78627451
1/18/23 0:00,5:00 AM,10
1/18/23 0:00,5:00 AM,19
1/18/23 0:00,5:00 AM,2.78627451
1/19/23 0:00,5:00 AM,1
1/19/23 0:00,5:00 AM,0
1/19/23 0:00,5:00 AM,0
1/19/23 0:00,5:00 AM,1
1/19/23 0:00,5:00 AM,14
1/19/23 0:00,5:00 AM,24
1/19/23 0:00,5:00 AM,2
1/20/23 0:00,5:00 AM,0
1/20/23 0:00,5:00 AM,0
1/20/23 0:00,5:00 AM,1
1/20/23 0:00,5:00 AM,0
1/20/23 0:00,5:00 AM,4
1/20/23 0:00,5:00 AM,16
1/20/23 0:00,5:00 AM,2
1/21/23 0:00,5:00 AM,2.78627451
1/21/23 0:00,5:00 AM,2.78627451
1/21/23 0:00,5:00 AM,2.78627451
1/21/23 0:00,5:00 AM,2.78627451
1/21/23 0:00,5:00 AM,2.78627451
1/21/23 0:00,5:00 AM,2.78627451
1/21/23 0:00,5:00 AM,2.78627451
1/22/23 0:00,5:00 AM,2.78627451
1/22/23 0:00,5:00 AM,2.78627451
1/22/23 0:00,5:00 AM,2.78627451
1/22/23 0:00,5:00 AM,2.78627451
1/22/23 0:00,5:00 AM,2.78627451
1/22/23 0:00,5:00 AM,2.78627451
1/22/23 0:00,5:00 AM,2.78627451
1/23/23 0:00,5:00 AM,1
1/23/23 0:00,5:00 AM,2
1/23/23 0:00,5:00 AM,0
1/23/23 0:00,5:00 AM,0
1/23/23 0:00,5:00 AM,14
1/23/23 0:00,5:00 AM,21
1/23/23 0:00,5:00 AM,8
1/24/23 0:00,5:00 AM,0
1/24/23 0:00,5:00 AM,0
1/24/23 0:00,5:00 AM,0
1/24/23 0:00,5:00 AM,0
1/24/23 0:00,5:00 AM,0
1/24/23 0:00,5:00 AM,0
1/24/23 0:00,5:00 AM,3
1/25/23 0:00,5:00 AM,0
1/25/23 0:00,5:00 AM,1
1/25/23 0:00,5:00 AM,1
1/25/23 0:00,5:00 AM,1
1/25/23 0:00,5:00 AM,0
1/25/23 0:00,5:00 AM,6
1/25/23 0:00,5:00 AM,9
1/26/23 0:00,5:00 AM,0
1/26/23 0:00,5:00 AM,2
1/26/23 0:00,5:00 AM,2
1/26/23 0:00,5:00 AM,4
1/26/23 0:00,5:00 AM,13
1/26/23 0:00,5:00 AM,22
1/26/23 0:00,5:00 AM,7
1/27/23 0:00,5:00 AM,1
1/27/23 0:00,5:00 AM,1
1/27/23 0:00,5:00 AM,2
1/27/23 0:00,5:00 AM,0
1/27/23 0:00,5:00 AM,8
1/27/23 0:00,5:00 AM,16
1/27/23 0:00,5:00 AM,8
1/28/23 0:00,5:00 AM,2.78627451
1/28/23 0:00,5:00 AM,2.78627451
1/28/23 0:00,5:00 AM,2.78627451
1/28/23 0:00,5:00 AM,2.78627451
1/28/23 0:00,5:00 AM,2.78627451
1/28/23 0:00,5:00 AM,2.78627451
1/28/23 0:00,5:00 AM,2.78627451
1/29/23 0:00,5:00 AM,2.78627451
1/29/23 0:00,5:00 AM,2.78627451
1/29/23 0:00,5:00 AM,2.78627451
1/29/23 0:00,5:00 AM,2.78627451
1/29/23 0:00,5:00 AM,2.78627451
1/29/23 0:00,5:00 AM,2.78627451
1/29/23 0:00,5:00 AM,2.78627451
1/30/23 0:00,5:00 AM,1
1/30/23 0:00,5:00 AM,1
1/30/23 0:00,5:00 AM,1
1/30/23 0:00,5:00 AM,0
1/30/23 0:00,5:00 AM,11
1/30/23 0:00,5:00 AM,37
1/30/23 0:00,5:00 AM,6
1/31/23 0:00,5:00 AM,0
1/31/23 0:00,5:00 AM,0
1/31/23 0:00,5:00 AM,0
1/31/23 0:00,5:00 AM,0
1/31/23 0:00,5:00 AM,0
1/31/23 0:00,5:00 AM,4
1/31/23 0:00,5:00 AM,2
2/1/23 0:00,5:00 AM,1
2/1/23 0:00,5:00 AM,1
2/1/23 0:00,5:00 AM,0
2/1/23 0:00,5:00 AM,1
2/1/23 0:00,5:00 AM,13
2/1/23 0:00,5:00 AM,20
2/1/23 0:00,5:00 AM,8
2/2/23 0:00,5:00 AM,2
2/2/23 0:00,5:00 AM,1
2/2/23 0:00,5:00 AM,1
2/2/23 0:00,5:00 AM,2
2/2/23 0:00,5:00 AM,7
2/2/23 0:00,5:00 AM,19
2/2/23 0:00,5:00 AM,4
2/3/23 0:00,5:00 AM,1
2/3/23 0:00,5:00 AM,0
2/3/23 0:00,5:00 AM,0
2/3/23 0:00,5:00 AM,0
2/3/23 0:00,5:00 AM,0
2/3/23 0:00,5:00 AM,11
2/3/23 0:00,5:00 AM,0
2/4/23 0:00,5:00 AM,2.78627451
2/4/23 0:00,5:00 AM,2.78627451
2/4/23 0:00,5:00 AM,2.78627451
2/4/23 0:00,5:00 AM,2.78627451
2/4/23 0:00,5:00 AM,2.78627451
2/4/23 0:00,5:00 AM,2.78627451
2/4/23 0:00,5:00 AM,2.78627451
