Date,Facility,Location,Hour,Count
1/10/23 0:00,Marino Recreation Center,Marino Center - Track,5:00 AM,3.0
1/10/23 0:00,Marino Recreation Center,Marino Center - Studio A,5:00 AM,0.0
1/10/23 0:00,Marino Recreation Center,Marino Center - Studio B,5:00 AM,0.0
1/10/23 0:00,Marino Recreation Center,Marino Center - Gymnasium,5:00 AM,0.0
1/10/23 0:00,Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,5:00 AM,18.0
1/10/23 0:00,Marino Recreation Center,Marino Center - 3rd Floor Weight Room,5:00 AM,14.0
1/10/23 0:00,Marino Recreation Center,Marino Center - 2nd Floor,5:00 AM,4.0
1/11/23 0:00,Marino Recreation Center,Marino Center - Track,5:00 AM,2.7862745098039214
1/11/23 0:00,Marino Recreation Center,Marino Center - Studio A,5:00 AM,0.0
1/11/23 0:00,Marino Recreation Center,Marino Center - Studio B,5:00 AM,0.0
1/11/23 0:00,Marino Recreation Center,Marino Center - Gymnasium,5:00 AM,0.0
1/11/23 0:00,Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,5:00 AM,2.7862745098039214
1/11/23 0:00,Marino Recreation Center,Marino Center - 3rd Floor Weight Room,5:00 AM,2.7862745098039214
1/11/23 0:00,Marino Recreation Center,Marino Center - 2nd Floor,5:00 AM,4.0
1/12/23 0:00,Marino Recreation Center,Marino Center - Track,5:00 AM,1.0
1/12/23 0:00,Marino Recreation Center,Marino Center - Studio A,5:00 AM,0.0
1/12/23 0:00,Marino Recreation Center,Marino Center - Studio B,5:00 AM,0.0
1/12/23 0:00,Marino Recreation Center,Marino Center - Gymnasium,5:00 AM,0.0
1/12/23 0:00,Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,5:00 AM,14.0
1/12/23 0:00,Marino Recreation Center,Marino Center - 3rd Floor Weight Room,5:00 AM,15.0
1/12/23 0:00,Marino Recreation Center,Marino Center - 2nd Floor,5:00 AM,0.0
1/13/23 0:00,Marino Recreation Center,Marino Center - Track,5:00 AM,1.0
1/13/23 0:00,Marino Recreation Center,Marino Center - Studio A,5:00 AM,0.0
1/13/23 0:00,Marino Recreation Center,Marino Center - Studio B,5:00 AM,0.0
1/13/23 0:00,Marino Recreation Center,Marino Center - Gymnasium,5:00 AM,0.0
1/13/23 0:00,Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,5:00 AM,6.0
1/13/23 0:00,Marino Recreation Center,Marino Center - 3rd Floor Weight Room,5:00 AM,18.0
1/13/23 0:00,Marino Recreation Center,Marino Center - 2nd Floor,5:00 AM,3.0
1/14/23 0:00,Marino Recreation Center,Marino Center - Track,5:00 AM,2.7862745098039214
1/14/23 0:00,Marino Recreation Center,Marino Center - Studio A,5:00 AM,2.7862745098039214
1/14/23 0:00,Marino Recreation Center,Marino Center - Studio B,5:00 AM,2.7862745098039214
1/14/23 0:00,Marino Recreation Center,Marino Center - Gymnasium,5:00 AM,2.7862745098039214
1/14/23 0:00,Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,5:00 AM,2.7862745098039214
1/14/23 0:00,Marino Recreation Center,Marino Center - 3rd Floor Weight Room,5:00 AM,2.7862745098039214
1/14/23 0:00,Marino Recreation Center,Marino Center - 2nd Floor,5:00 AM,2.7862745098039214
1/15/23 0:00,Marino Recreation Center,Marino Center - Track,5:00 AM,2.7862745098039214
1/15/23 0:00,Marino Recreation Center,Marino Center - Studio A,5:00 AM,2.7862745098039214
1/15/23 0:00,Marino Recreation Center,Marino Center - Studio B,5:00 AM,2.7862745098039214
1/15/23 0:00,Marino Recreation Center,Marino Center - Gymnasium,5:00 AM,2.7862745098039214
1/15/23 0:00,Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,5:00 AM,2.7862745098039214
1/15/23 0:00,Marino Recreation Center,Marino Center - 3rd Floor Weight Room,5:00 AM,2.7862745098039214
1/15/23 0:00,Marino Recreation Center,Marino Center - 2nd Floor,5:00 AM,2.7862745098039214
1/16/23 0:00,Marino Recreation Center,Marino Center - Track,5:00 AM,1.0
1/16/23 0:00,Marino Recreation Center,Marino Center - Studio A,5:00 AM,0.0
1/16/23 0:00,Marino Recreation Center,Marino Center - Studio B,5:00 AM,0.0
1/16/23 0:00,Marino Recreation Center,Marino Center - Gymnasium,5:00 AM,0.0
1/16/23 0:00,Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,5:00 AM,1.0
1/16/23 0:00,Marino Recreation Center,Marino Center - 3rd Floor Weight Room,5:00 AM,6.0
1/16/23 0:00,Marino Recreation Center,Marino Center - 2nd Floor,5:00 AM,1.0
1/17/23 0:00,Marino Recreation Center,Marino Center - Track,5:00 AM,2.7862745098039214
1/17/23 0:00,Marino Recreation Center,Marino Center - Studio A,5:00 AM,0.0
1/17/23 0:00,Marino Recreation Center,Marino Center - Studio B,5:00 AM,0.0
1/17/23 0:00,Marino Recreation Center,Marino Center - Gymnasium,5:00 AM,4.0
1/17/23 0:00,Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,5:00 AM,2.7862745098039214
1/17/23 0:00,Marino Recreation Center,Marino Center - 3rd Floor Weight Room,5:00 AM,2.0
1/17/23 0:00,Marino Recreation Center,Marino Center - 2nd Floor,5:00 AM,2.7862745098039214
1/18/23 0:00,Marino Recreation Center,Marino Center - Track,5:00 AM,1.0
1/18/23 0:00,Marino Recreation Center,Marino Center - Studio A,5:00 AM,2.7862745098039214
1/18/23 0:00,Marino Recreation Center,Marino Center - Studio B,5:00 AM,2.7862745098039214
1/18/23 0:00,Marino Recreation Center,Marino Center - Gymnasium,5:00 AM,2.7862745098039214
